eplenmean,explained_variance,clipfrac,time_elapsed,eprewmean,fps,approxkl,serial_timesteps,total_timesteps,value_loss,nupdates,policy_loss,policy_entropy
nan,0.9995136272918899,0.21202806,902.8909456729889,nan,2153,0.0137325805,157696,1892352,0.00017890286,77,-0.035534553,31.745615
nan,0.9994852959644049,0.21455893,914.5007793903351,nan,2116,0.0137705235,159744,1916928,0.00018237231,78,-0.03557644,31.662344
nan,0.9994420771836303,0.21702072,926.3711252212524,nan,2070,0.013994334,161792,1941504,0.00018772237,79,-0.03670048,31.581715
nan,0.9994419619324617,0.20923257,937.840781211853,nan,2142,0.01347073,163840,1966080,0.00018755639,80,-0.036305748,31.504303
nan,0.9994783959118649,0.2225546,949.7902674674988,nan,2057,0.014287382,165888,1990656,0.00019730449,81,-0.035450406,31.416224
nan,0.999377804226242,0.21464841,961.5501599311829,nan,2089,0.013912028,167936,2015232,0.00020576303,82,-0.035616852,31.329687
nan,0.9994784532464109,0.21394041,973.2539684772491,nan,2099,0.013795948,169984,2039808,0.00019414998,83,-0.035171427,31.255371
nan,0.999458309088368,0.22597256,984.890031337738,nan,2112,0.01450482,172032,2064384,0.00019685202,84,-0.036914326,31.16825
nan,0.9994375925743952,0.21750891,996.452269077301,nan,2125,0.014230901,174080,2088960,0.00020145706,85,-0.035775006,31.059519
nan,0.9994900116580538,0.2216715,1008.4055588245392,nan,2056,0.014217143,176128,2113536,0.00018931621,86,-0.036278155,30.987392
nan,0.9994611872825772,0.21988519,1020.1142632961273,nan,2099,0.014228338,178176,2138112,0.00019821427,87,-0.035675984,30.916733
nan,0.9994638152420521,0.22334397,1031.8961296081543,nan,2086,0.014358856,180224,2162688,0.00019293188,88,-0.03583845,30.853643
nan,0.9995045662508346,0.22421065,1043.6382882595062,nan,2093,0.014435224,182272,2187264,0.00018554722,89,-0.036450475,30.760324
nan,0.9994904345367104,0.22091874,1055.2180588245392,nan,2122,0.01413889,184320,2211840,0.00018056313,90,-0.035319474,30.671774
nan,0.9993857658701017,0.21833095,1066.7363760471344,nan,2133,0.014153086,186368,2236416,0.00018071513,91,-0.034937788,30.588154
nan,0.9995387657545507,0.22612707,1078.3749613761902,nan,2111,0.014641774,188416,2260992,0.00017236332,92,-0.035581388,30.48443
nan,0.999477336765267,0.21814778,1090.1223385334015,nan,2092,0.014162546,190464,2285568,0.00016970292,93,-0.034947667,30.399998
nan,0.9995533848414198,0.228247,1101.7772598266602,nan,2108,0.01475292,192512,2310144,0.00016614802,94,-0.036028765,30.309637
192649.0,0.9986727882642299,0.21999922,1113.4518735408783,-248378.339465,2105,0.014207823,194560,2334720,0.00020414048,95,-0.032676086,30.265438
192649.0,0.9992625310551375,0.22612712,1125.2781393527985,-248378.339465,2078,0.014722845,196608,2359296,0.00016217372,96,-0.03470571,30.182135
192649.0,0.9994017709395848,0.22541909,1136.9054222106934,-248378.339465,2113,0.014640072,198656,2383872,0.00015820621,97,-0.035279434,30.114618
192649.0,0.9994762782589532,0.22045898,1148.78901720047,-248378.339465,2068,0.014324387,200704,2408448,0.00014659422,98,-0.033864647,30.054768
