serial_timesteps,eplenmean,value_loss,total_timesteps,fps,time_elapsed,clipfrac,eprewmean,policy_entropy,approxkl,policy_loss,explained_variance,nupdates
202752,nan,2.561155e-05,2433024,2224,1099.0929245948792,0.29180095,nan,2.986656,0.019626983,-0.029502204,0.9998630746267736,99
204800,nan,2.573154e-05,2457600,2217,1110.1770391464233,0.29176834,nan,2.52773,0.019483034,-0.028040096,0.999872210828471,100
206848,nan,2.2845537e-05,2482176,2182,1121.4427998065948,0.29039723,nan,2.0759277,0.019531745,-0.028025756,0.9998584652639693,101
208896,nan,2.2377668e-05,2506752,2191,1132.657354593277,0.2962809,nan,1.6123002,0.020006774,-0.027445063,0.9998772693215869,102
210944,nan,2.2495498e-05,2531328,2232,1143.6671011447906,0.29046622,nan,1.1524012,0.019656176,-0.027650172,0.9998803186535952,103
212992,nan,2.0063966e-05,2555904,2252,1154.5786690711975,0.30728763,nan,0.68632805,0.020701932,-0.027963957,0.9998854481673334,104
215040,nan,1.9200308e-05,2580480,2236,1165.5697193145752,0.29763195,nan,0.22341259,0.020095479,-0.027324995,0.999891668165219,105
217088,nan,1.7344446e-05,2605056,2250,1176.4905869960785,0.30028087,nan,-0.2494622,0.020374428,-0.026616778,0.999902355048107,106
219136,nan,1.6953227e-05,2629632,2235,1187.4855732917786,0.29355067,nan,-0.7048632,0.019926675,-0.025497064,0.9998930188667146,107
221184,nan,1.5760164e-05,2654208,2247,1198.4197640419006,0.2972005,nan,-1.1730458,0.019951062,-0.02627256,0.9998994771231082,108
223232,nan,1.5667672e-05,2678784,2244,1209.3720796108246,0.3049276,nan,-1.6460148,0.02092887,-0.026457256,0.9999037654997665,109
225280,nan,1.4264752e-05,2703360,2248,1220.3043489456177,0.30216473,nan,-2.128643,0.020534882,-0.025999252,0.9999078179171192,110
227328,nan,1.4763446e-05,2727936,2199,1231.4810211658478,0.31372076,nan,-2.6176813,0.02173469,-0.026887048,0.9999089234697749,111
229376,nan,1.300339e-05,2752512,2251,1242.3984742164612,0.31871337,nan,-3.1033015,0.022342484,-0.027058322,0.9999265295264195,112
231424,nan,1.2326678e-05,2777088,2244,1253.3482925891876,0.30929774,nan,-3.5918765,0.02150492,-0.025633058,0.9999196900753304,113
233472,nan,1.1561318e-05,2801664,2248,1264.2795910835266,0.30893564,nan,-4.090684,0.021195974,-0.025115589,0.9999298866387107,114
235520,nan,1.0842233e-05,2826240,2251,1275.1980302333832,0.316386,nan,-4.5663886,0.021995502,-0.025077615,0.9999323414594983,115
237568,nan,1.0836482e-05,2850816,2250,1286.1206707954407,0.31178793,nan,-5.055481,0.021705722,-0.024226898,0.999936756947136,116
239616,nan,1.0324341e-05,2875392,2201,1297.2846014499664,0.32006028,nan,-5.552341,0.022280421,-0.02456306,0.9999373231330537,117
241664,nan,9.430094e-06,2899968,2271,1308.1045019626617,0.31916913,nan,-6.056611,0.022210218,-0.024124023,0.9999377748827101,118
